code,date,open,close,high,low,volume,money
000001.XSHE,2014-01-02,770.86,777.85,781.67,766.4,770278.5279938289,596231842.0
000001.XSHE,2014-01-03,772.76,758.77,773.4,749.87,866507.8943553381,656635641.0
000001.XSHE,2014-01-06,756.23,742.24,760.68,732.06,915245.3465186463,679294489.0
000001.XSHE,2014-01-07,733.33,739.69,747.96,732.7,532070.6525706714,393977473.0
000001.XSHE,2014-01-08,740.33,747.96,759.41,733.33,719737.9111182416,538436298.0
000001.XSHE,2014-01-09,743.51,751.78,762.59,740.96,763364.6492324881,576866876.0
000001.XSHE,2014-01-10,749.23,751.78,760.04,741.6,599345.6011067069,450486058.0
000001.XSHE,2014-01-13,750.5,737.78,757.5,730.79,752927.7020249941,559404101.0
000001.XSHE,2014-01-14,735.88,745.42,748.6,728.88,569832.3683292642,420714779.0
000001.XSHE,2014-01-15,744.14,742.24,746.69,735.24,468516.91636128456,346734910.0
000001.XSHE,2014-01-16,741.6,743.51,750.5,736.51,471041.70354131085,350025465.0
000001.XSHE,2014-01-17,739.06,730.15,740.33,728.24,665882.4515510511,487420758.0
000001.XSHE,2014-01-20,730.15,718.7,730.15,715.52,483036.87213023513,349161079.0
000001.XSHE,2014-01-21,719.97,722.52,735.24,719.97,417902.7846980014,303590676.0
000001.XSHE,2014-01-22,722.52,749.87,754.32,722.52,973368.7652526436,723519128.0
000001.XSHE,2014-01-23,748.6,744.14,749.87,740.96,590447.9667804444,439496512.0
000001.XSHE,2014-01-24,740.33,741.6,751.14,735.88,762998.8915857604,567517931.0
000001.XSHE,2014-01-27,735.24,724.43,739.69,722.52,696511.164639786,508348638.0
000001.XSHE,2014-01-28,728.24,731.42,737.15,723.15,612692.3655355338,446211038.0
000001.XSHE,2014-01-29,733.97,735.24,740.33,732.06,490713.5411566292,361583105.0
000001.XSHE,2014-01-30,734.6,725.06,734.6,723.79,458183.90202190174,332621991.0
000001.XSHE,2014-02-07,719.97,723.79,723.79,705.98,658402.9428425373,470129507.0
000001.XSHE,2014-02-10,723.79,735.88,737.15,721.88,913842.5857476762,669978318.0
000001.XSHE,2014-02-11,733.33,763.22,782.3,726.97,2060425.5653677837,1569454901.0
000001.XSHE,2014-02-12,754.96,759.41,774.04,754.96,1092135.5631345387,831735677.0
000001.XSHE,2014-02-13,752.41,777.22,793.75,750.5,1915328.794935797,1480581939.0
000001.XSHE,2014-02-14,770.22,768.31,775.31,760.68,915601.1401647772,701904991.0
000001.XSHE,2014-02-17,769.58,761.32,774.04,754.96,957389.3159249722,727650341.0
000001.XSHE,2014-02-18,757.5,741.6,758.77,739.69,937174.0722761594,700246722.0
000001.XSHE,2014-02-19,738.42,763.22,770.86,738.42,1553693.5614894787,1177764548.0
000001.XSHE,2014-02-20,758.77,747.96,779.12,747.32,1204873.287341569,919016714.0
000001.XSHE,2014-02-21,751.78,737.78,752.41,736.51,754691.8051451654,559694680.0
000001.XSHE,2014-02-24,728.24,709.8,728.24,708.53,1049995.9425190196,750797144.0
000001.XSHE,2014-02-25,710.43,700.89,721.88,699.62,862221.5668649856,611558711.0
000001.XSHE,2014-02-26,701.53,706.62,712.98,699.62,641390.1644448219,453172119.0
000001.XSHE,2014-02-27,709.16,714.89,721.25,700.26,872744.9873407098,621801122.0
000001.XSHE,2014-02-28,710.43,707.89,714.89,691.99,701610.2699571968,493554744.0
000001.XSHE,2014-03-03,700.89,702.17,704.71,695.17,672038.0078898271,470296239.0
000001.XSHE,2014-03-04,698.99,698.35,700.89,686.9,829510.0307868548,575016633.0
000001.XSHE,2014-03-05,692.63,680.54,698.35,676.73,838052.4142592645,575255997.0
000001.XSHE,2014-03-06,681.18,684.99,690.08,668.46,829196.7634564008,564310609.0
000001.XSHE,2014-03-07,683.72,686.9,695.81,682.45,768301.5286067843,529716446.0
000001.XSHE,2014-03-10,680.54,655.74,681.81,652.56,855819.3049074328,567572732.0
000001.XSHE,2014-03-11,655.74,651.28,660.82,643.02,708770.3230561356,462154720.0
000001.XSHE,2014-03-12,653.19,658.28,666.55,647.47,809892.0596098925,532489260.0
000001.XSHE,2014-03-13,666.55,671.64,686.27,660.19,985224.2272646058,663461875.0
000001.XSHE,2014-03-14,663.37,656.37,669.73,653.19,708145.6739339092,466413496.0
000001.XSHE,2014-03-17,662.1,665.91,667.82,658.92,586429.1165472813,388746189.0
000001.XSHE,2014-03-18,665.91,660.19,668.46,657.01,678931.7772156502,449374168.0
000001.XSHE,2014-03-19,658.28,651.28,658.28,645.56,570786.2916103672,370337559.0
000001.XSHE,2014-03-20,650.01,642.38,653.83,639.84,715201.0025218717,462696663.0
000001.XSHE,2014-03-21,640.47,686.27,693.9,638.56,1968183.2922902063,1316737555.0
000001.XSHE,2014-03-24,684.99,686.27,695.17,676.09,1324696.666035234,908752381.0
000001.XSHE,2014-03-25,684.99,674.18,687.54,672.27,653681.865377199,444837778.0
000001.XSHE,2014-03-26,678.0,680.54,683.72,670.37,566344.9907426456,383225991.0
000001.XSHE,2014-03-27,676.73,684.99,701.53,669.09,1262756.1249069327,867998493.0
000001.XSHE,2014-03-28,680.54,685.63,696.44,680.54,837473.1269051819,576606515.0
000001.XSHE,2014-03-31,690.08,684.99,695.17,678.63,504909.6877326677,346031059.0
000001.XSHE,2014-04-01,681.81,686.9,692.63,680.54,442193.0994322319,303945831.0
000001.XSHE,2014-04-02,686.27,693.9,699.62,682.45,723869.6166594612,500530856.0
000001.XSHE,2014-04-03,697.08,684.99,700.89,684.99,713268.9922480622,494226976.0
000001.XSHE,2014-04-04,680.54,686.27,688.17,674.18,537856.980488729,366582469.0
000001.XSHE,2014-04-08,685.63,717.43,730.15,685.63,2111446.2567776646,1503011338.0
000001.XSHE,2014-04-09,716.79,711.71,721.88,709.8,876299.7470879994,626173962.0
000001.XSHE,2014-04-10,712.98,722.52,736.51,709.8,1210758.5229474618,875973996.0
