code,date,open,close,high,low,volume,money,time_interval,SMA_5,SMA_15,upperband,lowerband,SMA5_volume,ATR_5,ATR_15,MACD
000001.XSHE,2014-01-02,770.86,777.85,781.67,766.4,770278.5279938289,596231842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2014-01-03,772.76,758.77,773.4,749.87,866507.8943553381,656635641.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.974999999999909
000001.XSHE,2014-01-06,756.23,742.24,760.68,732.06,915245.3465186463,679294489.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.571874999999864
000001.XSHE,2014-01-07,733.33,739.69,747.96,732.7,532070.6525706714,393977473.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.969140624999909
000001.XSHE,2014-01-08,740.33,747.96,759.41,733.33,719737.9111182416,538436298.0,1.0,753.302,0.0,0.0,0.0,760768.0665113453,22.641999999999985,0.0,12.687581380208258
000001.XSHE,2014-01-09,743.51,751.78,762.59,740.96,763364.6492324881,576866876.0,1.0,748.088,0.0,0.0,0.0,759385.2907590771,23.913999999999987,0.0,11.198855929904425
000001.XSHE,2014-01-10,749.23,751.78,760.04,741.6,599345.6011067069,450486058.0,1.0,746.69,0.0,0.0,0.0,705952.832109351,22.005999999999972,0.0,9.863813753481168
000001.XSHE,2014-01-13,750.5,737.78,757.5,730.79,752927.7020249941,559404101.0,3.0,745.798,0.0,0.0,0.0,673489.3032106205,21.623999999999977,0.0,11.59071357750588
000001.XSHE,2014-01-14,735.88,745.42,748.6,728.88,569832.3683292642,420714779.0,1.0,746.944,0.0,0.0,0.0,681041.6463623389,22.515999999999984,0.0,10.523458742457706
000001.XSHE,2014-01-15,744.14,742.24,746.69,735.24,468516.91636128456,346734910.0,1.0,745.8,0.0,0.0,0.0,630797.4474109475,19.59000000000001,0.0,10.124915974410442
000001.XSHE,2014-01-16,741.6,743.51,750.5,736.51,471041.70354131085,350025465.0,1.0,744.146,0.0,0.0,0.0,572332.8582727121,18.062000000000012,0.0,9.205977860782468
000001.XSHE,2014-01-17,739.06,730.15,740.33,728.24,665882.4515510511,487420758.0,1.0,739.8199999999999,0.0,0.0,0.0,585640.2283615809,17.42800000000002,0.0,11.069681550300174
000001.XSHE,2014-01-20,730.15,718.7,730.15,715.52,483036.87213023513,349161079.0,3.0,736.004,0.0,0.0,0.0,531662.0623826291,15.012000000000011,0.0,14.081021971256291
000001.XSHE,2014-01-21,719.97,722.52,735.24,719.97,417902.7846980014,303590676.0,1.0,731.424,0.0,0.0,0.0,501276.1456563766,14.376,0.0,14.45509463467829
000001.XSHE,2014-01-22,722.52,749.87,754.32,722.52,973368.7652526436,723519128.0,1.0,732.95,744.0173333333333,772.7733776337848,715.2612890328819,602246.5154346485,18.446000000000005,20.226,8.373091411896098
000001.XSHE,2014-01-23,748.6,744.14,749.87,740.96,590447.9667804444,439496512.0,1.0,733.076,741.77,763.6383946762053,719.9016053237947,626127.768082475,17.429999999999996,19.802,5.67012738977769
000001.XSHE,2014-01-24,740.33,741.6,751.14,735.88,762998.8915857604,567517931.0,1.0,735.366,740.6253333333333,760.3749689417862,720.8756977248804,645551.056089417,17.427999999999997,18.953999999999997,4.386309735634541
000001.XSHE,2014-01-27,735.24,724.43,739.69,722.52,696511.164639786,508348638.0,3.0,736.512,739.438,760.8436310348469,718.0323689651531,688245.9145913271,18.318000000000005,18.317999999999998,7.031736531732918
000001.XSHE,2014-01-28,728.24,731.42,737.15,723.15,612692.3655355338,446211038.0,1.0,738.292,738.8866666666668,760.6868562682888,717.0864770650447,727203.8307588336,17.810000000000013,18.233999999999998,6.825663140634788
000001.XSHE,2014-01-29,733.97,735.24,740.33,732.06,490713.5411566292,361583105.0,1.0,735.366,738.0386666666667,759.3094056110028,716.7679277223306,630672.7859396307,13.232000000000017,17.089333333333343,5.625217698301071
000001.XSHE,2014-01-30,734.6,725.06,734.6,723.79,458183.90202190174,332621991.0,1.0,731.55,736.2573333333332,757.0665311165482,715.4481355501183,604219.9729879221,13.740000000000032,16.41066666666668,6.811407119510477
000001.XSHE,2014-02-07,719.97,723.79,723.79,705.98,658402.9428425373,470129507.0,8.0,727.9879999999999,734.3913333333334,754.2323541404056,714.5503125262611,583300.7832392777,14.504000000000019,16.453333333333344,7.484125651903014
000001.XSHE,2014-02-10,723.79,735.88,737.15,721.88,913842.5857476762,669978318.0,3.0,730.278,734.2646666666666,754.0371133924467,714.4922199408865,626767.0674608557,13.742000000000008,15.690666666666676,5.045956226969338
000001.XSHE,2014-02-11,733.33,763.22,782.3,726.97,2060425.565367784,1569454901.0,1.0,736.638,735.4513333333332,759.7187186968403,711.1839479698261,916313.7074273058,22.007999999999992,18.064666666666668,-2.282390780365631
000001.XSHE,2014-02-12,754.96,759.41,774.04,754.96,1092135.5631345387,831735677.0,1.0,741.472,736.5959999999999,763.6908005555099,709.5011994444899,1036598.1118228876,24.041999999999963,18.573333333333327,-5.668410252129206
000001.XSHE,2014-02-13,752.41,777.22,793.75,750.5,1915328.794935797,1480581939.0,1.0,751.9040000000001,738.8433333333334,773.0535955085235,704.6330711581433,1328027.0904056667,30.40199999999995,20.523999999999994,-11.117821183485944
000001.XSHE,2014-02-14,770.22,768.31,775.31,760.68,915601.1401647772,701904991.0,1.0,760.808,741.3873333333333,778.3886016256243,704.3860650410423,1379466.7298701147,29.893999999999984,20.608666666666668,-11.977151677465372
000001.XSHE,2014-02-17,769.58,761.32,774.04,754.96,957389.3159249722,727650341.0,3.0,765.896,744.2286666666665,780.297358960809,708.1599743725241,1388176.075905574,30.65599999999997,20.905333333333328,-10.523129812392312
000001.XSHE,2014-02-18,757.5,741.6,758.77,739.69,937174.0722761594,700246722.0,1.0,761.5719999999999,745.5006666666667,779.579151262977,711.4221820703564,1163525.777287249,23.915999999999986,21.244666666666664,-5.128153315583404
000001.XSHE,2014-02-19,738.42,763.22,770.86,738.42,1553693.5614894787,1177764548.0,1.0,762.3340000000001,746.3906666666667,781.6355369857575,711.1457963475758,1255837.376958237,26.58800000000001,21.28733333333333,-6.271577304295533
