code,date,open,close,high,low,volume,money
000001.XSHE,2020-01-02,1976.78,2002.9,2012.4,1966.1,1288880.971091917,2571196426.0
000001.XSHE,2020-01-03,2011.21,2039.71,2055.14,2010.03,940145.7697417772,1914495414.0
000001.XSHE,2020-01-06,2019.52,2026.65,2058.7,2007.65,726116.6042483904,1477930122.0
000001.XSHE,2020-01-07,2033.77,2036.14,2051.58,2012.4,613692.7888062705,1247047080.0
000001.XSHE,2020-01-08,2018.34,1977.97,2024.27,1974.41,714104.9237349404,1423608763.0
000001.XSHE,2020-01-09,1995.78,1993.4,2008.84,1962.53,868925.0351158823,1725326772.0
000001.XSHE,2020-01-10,1993.4,1981.53,1993.4,1962.53,493196.1413655105,975154789.0
000001.XSHE,2020-01-13,1988.65,2017.15,2021.9,1976.78,734582.1887316261,1468271639.0
000001.XSHE,2020-01-14,2017.15,1989.84,2048.02,1989.84,1098745.0830217504,2217608765.0
000001.XSHE,2020-01-15,1993.4,1961.35,2000.53,1953.04,723887.3898080403,1424889183.0
000001.XSHE,2020-01-16,1961.35,1938.79,1966.1,1923.36,865946.7673136338,1678888407.0
000001.XSHE,2020-01-17,1944.73,1945.91,1964.91,1941.16,509947.1419541501,995908958.0
000001.XSHE,2020-01-20,1950.66,1953.04,1970.85,1941.16,628396.5023757834,1226464551.0
000001.XSHE,2020-01-21,1939.98,1899.61,1939.98,1891.3,755184.0640973672,1442171383.0
000001.XSHE,2020-01-22,1890.11,1910.3,1918.61,1865.18,605989.0038213892,1150933314.0
000001.XSHE,2020-01-23,1890.11,1845.0,1890.11,1828.37,927004.377235772,1723394247.0
000001.XSHE,2020-02-03,1660.97,1660.97,1744.08,1660.97,1902873.985081007,3201454094.0
000001.XSHE,2020-02-04,1668.1,1733.39,1739.33,1668.1,1437079.8723887878,2442932777.0
000001.XSHE,2020-02-05,1732.21,1736.96,1767.82,1701.34,1256154.6627441044,2177631991.0
000001.XSHE,2020-02-06,1758.33,1753.58,1764.26,1723.9,998782.9474560613,1740107580.0
000001.XSHE,2020-02-07,1733.39,1735.77,1744.08,1712.02,778986.2331990988,1345053206.0
000001.XSHE,2020-02-10,1722.71,1721.52,1725.08,1697.78,1128203.1286305126,1931983402.0
000001.XSHE,2020-02-11,1733.39,1755.95,1772.57,1729.83,1185513.7407101567,2077194080.0
000001.XSHE,2020-02-12,1755.95,1753.58,1759.51,1733.39,901661.6778247932,1573229015.0
000001.XSHE,2020-02-13,1746.45,1739.33,1765.45,1734.58,853409.0569357169,1491327626.0
000001.XSHE,2020-02-14,1751.2,1784.45,1796.32,1745.27,1273892.4150298408,2253906394.0
000001.XSHE,2020-02-17,1785.63,1824.81,1824.81,1773.76,1300222.6067371394,2337993528.0
000001.XSHE,2020-02-18,1820.06,1804.63,1820.06,1782.07,820056.1001424114,1478274136.0
000001.XSHE,2020-02-19,1792.76,1809.38,1824.81,1792.76,736243.9973913715,1333730137.0
000001.XSHE,2020-02-20,1812.94,1850.93,1854.49,1792.76,1040586.3641520748,1897922980.0
000001.XSHE,2020-02-21,1839.06,1849.75,1866.37,1834.31,838121.0358156505,1546692868.0
000001.XSHE,2020-02-24,1835.5,1808.19,1835.5,1799.88,1003822.7520338016,1820183788.0
000001.XSHE,2020-02-25,1780.88,1785.63,1795.13,1755.95,964050.6667114686,1710369708.0
000001.XSHE,2020-02-26,1753.58,1779.7,1811.75,1748.83,991057.4023711864,1769612142.0
000001.XSHE,2020-02-27,1776.14,1793.94,1798.69,1769.01,821453.9025831411,1464605692.0
000001.XSHE,2020-02-28,1763.08,1721.52,1784.45,1716.77,1095505.0188205773,1906892360.0
000001.XSHE,2020-03-02,1727.46,1755.95,1774.95,1717.96,940471.1643270024,1647432232.0
000001.XSHE,2020-03-03,1776.14,1747.64,1778.51,1736.96,971645.1626193044,1705816182.0
000001.XSHE,2020-03-04,1742.89,1744.08,1753.58,1722.71,726543.8431723316,1261123022.0
000001.XSHE,2020-03-05,1757.14,1827.19,1855.68,1748.83,2262862.066342307,4089493454.0
000001.XSHE,2020-03-06,1802.26,1784.45,1812.94,1784.45,1034765.9530947912,1858691215.0
000001.XSHE,2020-03-09,1746.45,1715.59,1748.83,1712.02,1403052.9788585852,2420392065.0
000001.XSHE,2020-03-10,1707.27,1752.39,1763.08,1707.27,983665.6155307892,1709084526.0
000001.XSHE,2020-03-11,1753.58,1744.08,1766.64,1736.96,685935.9421586163,1201250648.0
000001.XSHE,2020-03-12,1739.33,1742.89,1761.89,1726.27,830904.2222974487,1447436582.0
000001.XSHE,2020-03-13,1650.29,1723.9,1728.65,1650.29,985266.1012819768,1669009783.0
000001.XSHE,2020-03-16,1715.59,1632.48,1716.77,1632.48,1184412.1367489956,1975824130.0
000001.XSHE,2020-03-17,1632.48,1592.11,1655.04,1560.05,992076.8722010416,1582506016.0
000001.XSHE,2020-03-18,1592.11,1509.0,1607.55,1505.44,1166373.7057654078,1816836842.0
000001.XSHE,2020-03-19,1505.44,1452.01,1507.82,1415.21,1593136.884732198,2313863608.0
000001.XSHE,2020-03-20,1472.2,1486.45,1501.88,1455.58,1329406.7772208955,1967487769.0
000001.XSHE,2020-03-23,1424.71,1442.52,1466.26,1422.33,902170.26453706,1300469448.0
000001.XSHE,2020-03-24,1472.2,1497.13,1505.44,1456.76,994059.2887725182,1472909312.0
000001.XSHE,2020-03-25,1529.19,1528.0,1549.37,1507.82,957632.442408377,1467534929.0
000001.XSHE,2020-03-26,1517.31,1550.56,1582.61,1512.56,905607.939067176,1408651018.0
000001.XSHE,2020-03-27,1573.11,1561.24,1583.8,1552.93,550023.4877405139,861618628.0
000001.XSHE,2020-03-30,1525.62,1536.31,1547.0,1516.13,557368.1522609367,852956212.0
000001.XSHE,2020-03-31,1549.37,1519.69,1554.12,1517.31,432401.4502957839,662915439.0
000001.XSHE,2020-04-01,1526.81,1530.37,1557.68,1523.25,438689.7312414646,676070090.0
000001.XSHE,2020-04-02,1513.75,1539.87,1539.87,1504.25,436607.89871872304,663197597.0
000001.XSHE,2020-04-03,1522.06,1497.13,1530.37,1492.38,695171.8067235308,1047282375.0
000001.XSHE,2020-04-07,1530.37,1529.19,1536.31,1522.06,733043.7316487813,1121200085.0
000001.XSHE,2020-04-08,1529.19,1517.31,1533.94,1510.19,445327.8011744468,676604852.0
000001.XSHE,2020-04-09,1529.19,1512.56,1529.19,1510.19,344115.43872639764,522027869.0
