code,date,open,close,high,low,volume,money,time_interval,SMA_5,SMA_15,upperband,lowerband,SMA5_volume,ATR_5,ATR_15,MACD
000001.XSHE,2020-01-02,1976.78,2002.9,2012.4,1966.1,1288880.971091917,2571196426.0,2.0,1970.6080000000002,1946.15,2015.906904829833,1876.3930951701673,779317.222974557,46.302,42.66200000000002,-28.393351822061504
000001.XSHE,2020-01-03,2011.21,2039.71,2055.14,2010.03,940145.7697417772,1914495414.0,1.0,1987.468,1958.656,2023.2357897621573,1894.0762102378426,904675.4583943173,52.47599999999998,45.03666666666666,-38.86624725942556
000001.XSHE,2020-01-06,2019.52,2026.65,2058.7,2007.65,726116.6042483904,1477930122.0,3.0,1997.916,1966.1753333333331,2034.555194974796,1897.7954716918703,874271.4044839407,51.04999999999991,44.32399999999998,-40.63517596207885
000001.XSHE,2020-01-07,2033.77,2036.14,2051.58,2012.4,613692.7888062705,1247047080.0,1.0,2011.688,1974.2486666666668,2045.2976855065203,1903.1996478268134,832433.9002713017,46.537999999999876,44.87799999999996,-41.95100204020673
000001.XSHE,2020-01-08,2018.34,1977.97,2024.27,1974.41,714104.9237349404,1423608763.0,1.0,2016.6740000000002,1975.5153333333333,2046.0727360498868,1904.9579306167798,856588.2115246594,52.7119999999999,43.927333333333294,-28.851858834105997
000001.XSHE,2020-01-09,1995.78,1993.4,2008.84,1962.53,868925.0351158823,1725326772.0,1.0,2014.7740000000001,1978.1273333333334,2048.2053443401924,1908.0493223264746,772597.0243294524,50.10199999999986,45.03599999999995,-23.223114512459688
000001.XSHE,2020-01-10,1993.4,1981.53,1993.4,1962.53,493196.1413655105,975154789.0,1.0,2003.1380000000001,1979.2353333333333,2048.942295423359,1909.5283712433074,683207.098654199,45.82799999999993,44.71933333333329,-16.499133886813297
000001.XSHE,2020-01-13,1988.65,2017.15,2021.9,1976.78,734582.1887316261,1468271639.0,3.0,2001.238,1982.4013333333335,2054.516704338751,1910.285962327916,684900.2155508462,44.64200000000001,45.82799999999996,-19.310181276568983
000001.XSHE,2020-01-14,2017.15,1989.84,2048.02,1989.84,1098745.0830217504,2217608765.0,1.0,1991.9779999999998,1986.5173333333335,2052.1021109516887,1920.9325557149782,781910.6743939422,48.44200000000005,45.749333333333304,-14.455784700736103
000001.XSHE,2020-01-15,1993.4,1961.35,2000.53,1953.04,723887.3898080403,1424889183.0,1.0,1988.654,1987.4673333333333,2050.9853885693324,1923.9492780973342,783867.1676085623,45.59400000000005,46.77866666666664,-5.086312335636194
000001.XSHE,2020-01-16,1961.35,1938.79,1966.1,1923.36,865946.7673136338,1678888407.0,1.0,1977.732,1987.7046666666668,2050.4075956786173,1925.001737654716,783271.5140481126,44.88000000000007,47.09466666666664,5.291142891323489
000001.XSHE,2020-01-17,1944.73,1945.91,1964.91,1941.16,509947.1419541501,995908958.0,1.0,1970.6080000000002,1987.0713333333333,2051.344483855976,1922.7981828106906,786621.7141658405,43.930000000000064,47.411333333333324,9.640860819911268
000001.XSHE,2020-01-20,1950.66,1953.04,1970.85,1941.16,628396.5023757834,1226464551.0,3.0,1957.786,1985.6466666666668,2052.0351547680834,1919.25817856525,765384.5768946719,40.84400000000001,45.51199999999997,10.291077077424688
000001.XSHE,2020-01-21,1939.98,1899.61,1939.98,1891.3,755184.0640973672,1442171383.0,1.0,1939.7399999999998,1981.1353333333332,2060.7517375535895,1901.5189291130769,696672.3731097953,41.556,45.51199999999997,21.372825016081606
000001.XSHE,2020-01-22,1890.11,1910.3,1918.61,1865.18,605989.0038213892,1150933314.0,1.0,1929.53,1978.286,2064.958153313569,1891.6138466864313,673092.695912465,42.74399999999996,47.01666666666664,24.71956027129454
000001.XSHE,2020-01-23,1890.11,1845.0,1890.11,1828.37,927004.377235772,1723394247.0,1.0,1910.7720000000002,1967.7593333333332,2077.028811091462,1858.4898555752043,685304.2178968927,50.58199999999997,48.521333333333295,39.24600749219803
000001.XSHE,2020-02-03,1660.97,1660.97,1744.08,1660.97,1902873.985081007,3201454094.0,11.0,1853.784,1942.5099999999998,2128.573913596556,1756.4460864034436,963889.586522264,82.16399999999994,57.30733333333331,84.42410139221715
000001.XSHE,2020-02-04,1668.1,1733.39,1739.33,1668.1,1437079.8723887878,2442932777.0,1.0,1809.854,1922.9593333333335,2131.414491987498,1714.5041746791692,1125626.2605248648,91.89799999999995,59.12799999999999,92.1728186092189
000001.XSHE,2020-02-05,1732.21,1736.96,1767.82,1701.34,1256154.6627441044,2177631991.0,1.0,1777.3239999999998,1903.014,2122.041773816166,1683.986226183834,1225820.3802542123,92.84599999999996,60.948,92.10861954375241
000001.XSHE,2020-02-06,1758.33,1753.58,1764.26,1723.9,998782.9474560613,1740107580.0,1.0,1745.98,1888.0546666666667,2115.626616716605,1660.482716616728,1304379.1689811468,90.23199999999997,59.523333333333326,84.77081094124082
